group	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_dsDNA_30nt_seed9_model_2	0.86	0.22	NA	NA	NA	0.74	0.4	0.39	NA	NA	0.68	0.87	0.15	NA	NA	NA	NA	NA	NA	NA	0.482814	0.61826	0.601791	0.87	0.575569	0.2491	0.1653	0.3017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed9_model_3	0.87	0.20500000000000002	NA	NA	NA	0.69	0.37	0.37	NA	NA	0.63	0.85	0.14	NA	NA	NA	NA	NA	NA	NA	0.476427	0.673476	0.65875	0.85	0.509111	0.2515	0.1232	0.3221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed9_model_4	0.87	0.20500000000000002	NA	NA	NA	0.7	0.365	0.38	NA	NA	0.61	0.88	0.13	NA	NA	NA	NA	NA	NA	NA	0.443171	0.663191	0.648755	0.88	0.506966	0.207	0.1151	0.3071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed10_model_0	0.82	NA	NA	0.53	NA	0.51	NA	0.42	0.12	NA	NA	0.82	NA	0.21	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.113641	0.1847	0.0104	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed10_model_1	0.82	NA	NA	0.52	NA	0.48	NA	0.42	0.09	NA	NA	0.81	NA	0.16	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.097777	0.1873	0.0096	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed10_model_2	0.83	NA	NA	0.54	NA	0.47	NA	0.41	0.08	NA	NA	0.81	NA	0.13	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.13	0.087855	0.0828	0.0093	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed10_model_3	0.82	NA	NA	0.52	NA	0.46	NA	0.41	0.07	NA	NA	0.8	NA	0.12	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.12	0.084657	0.0871	0.0092	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed10_model_4	0.82	NA	NA	0.54	NA	0.48	NA	0.42	0.07	NA	NA	0.82	NA	0.13	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.13	0.085768	0.0869	0.0092	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed1_model_0	0.84	NA	NA	0.54	NA	0.57	NA	0.43	0.19	NA	NA	0.81	NA	0.33	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005199	0.27675	0.091162000000000007	0.33	0.172784	0.1911	0.0138	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed1_model_1	0.83	NA	NA	0.53	NA	0.58	NA	0.44	0.18	NA	NA	0.84	NA	0.33	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005076	0.272336	0.014105	0.33	0.172244	0.2321	0.0137	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed1_model_2	0.83	NA	NA	0.52	NA	0.48	NA	0.38	0.14	NA	NA	0.71	NA	0.24	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.24	0.132393	0.1294	0.0122	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed1_model_3	0.82	NA	NA	0.53	NA	0.52	NA	0.42	0.14	NA	NA	0.81	NA	0.24	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.24	0.128783	0.1619	0.0105	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed1_model_4	0.83	NA	NA	0.53	NA	0.5	NA	0.41	0.12	NA	NA	0.79	NA	0.21	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.12691	0.0477	0.0116	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed2_model_0	0.83	NA	NA	0.53	NA	0.52	NA	0.43	0.12	NA	NA	0.83	NA	0.21	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.115889	0.1816	0.0107	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed2_model_1	0.84	NA	NA	0.54	NA	0.51	NA	0.43	0.11	NA	NA	0.83	NA	0.19	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.110676	0.18	0.0104	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed2_model_2	0.83	NA	NA	0.54	NA	0.5	NA	0.42	0.1	NA	NA	0.82	NA	0.18	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.18	0.106934	0.1473	0.01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed2_model_3	0.83	NA	NA	0.53	NA	0.39	NA	0.32	0.09	NA	NA	0.62	NA	0.16	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.102213	0.0862	0.0097	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed2_model_4	0.85	NA	NA	0.54	NA	0.46	NA	0.42	0.07	NA	NA	0.81	NA	0.11	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.11	0.08149	0.167	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed3_model_0	0.84	NA	NA	0.55	NA	0.54	NA	0.46	0.18	NA	NA	0.82	NA	0.27	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.27	0.128259	0.2071	0.013	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed3_model_1	0.81	NA	NA	0.54	NA	0.52	NA	0.42	0.13	NA	NA	0.81	NA	0.22	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.22	0.120533	0.1973	0.0108	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed3_model_2	0.82	NA	NA	0.55	NA	0.52	NA	0.43	0.12	NA	NA	0.83	NA	0.21	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.114221	0.155	0.0101	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed3_model_3	0.82	NA	NA	0.53	NA	0.48	NA	0.42	0.08	NA	NA	0.82	NA	0.13	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.13	0.091605	0.0555	0.0096	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed3_model_4	0.82	NA	NA	0.53	NA	0.46	NA	0.41	0.07	NA	NA	0.79	NA	0.13	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.13	0.08952	0.0721	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed4_model_0	0.83	NA	NA	0.55	NA	0.29	NA	0.24	0.14	NA	NA	0.39	NA	0.19	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.107288	0.1604	0.0104	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed4_model_1	0.82	NA	NA	0.54	NA	0.5	NA	0.43	0.1	NA	NA	0.83	NA	0.17	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.17	0.102622	0.154	0.01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed4_model_2	0.82	NA	NA	0.53	NA	0.5	NA	0.43	0.09	NA	NA	0.84	NA	0.16	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.099757	0.1119	0.0103	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed4_model_3	0.83	NA	NA	0.53	NA	0.48	NA	0.42	0.07	NA	NA	0.83	NA	0.13	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.13	0.089351	0.0666	0.0093	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed4_model_4	0.82	NA	NA	0.54	NA	0.48	NA	0.43	0.07	NA	NA	0.84	NA	0.12	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.12	0.088679	0.0566	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed5_model_0	0.76	NA	NA	0.54	NA	0.51	NA	0.42	0.11	NA	NA	0.82	NA	0.19	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.115754	0.0735	0.0102	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed5_model_1	0.76	NA	NA	0.53	NA	0.5	NA	0.42	0.1	NA	NA	0.82	NA	0.17	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.17	0.10893	0.0853	0.0097	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed5_model_2	0.76	NA	NA	0.53	NA	0.51	NA	0.43	0.1	NA	NA	0.84	NA	0.18	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.18	0.108501	0.074	0.0096	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed5_model_3	0.8	NA	NA	0.54	NA	0.49	NA	0.44	0.1	NA	NA	0.83	NA	0.15	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.15	0.0874	0.1446	0.0098	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed5_model_4	0.81	NA	NA	0.54	NA	0.46	NA	0.41	0.1	NA	NA	0.77	NA	0.15	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.15	0.089095	0.1825	0.0098	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed6_model_0	0.82	NA	NA	0.53	NA	0.31	NA	0.25	0.15	NA	NA	0.41	NA	0.21	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.12509	0.1739	0.0101	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed6_model_1	0.82	NA	NA	0.53	NA	0.35	NA	0.27	0.12	NA	NA	0.5	NA	0.2	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.2	0.123694	0.0758	0.0107	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed6_model_2	0.81	NA	NA	0.54	NA	0.51	NA	0.43	0.11	NA	NA	0.83	NA	0.19	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.119659	0.0839	0.0107	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed6_model_3	0.81	NA	NA	0.53	NA	0.51	NA	0.43	0.1	NA	NA	0.84	NA	0.18	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.18	0.114387	0.0509	0.0099	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed6_model_4	0.82	NA	NA	0.53	NA	0.47	NA	0.42	0.07	NA	NA	0.83	NA	0.12	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.12	0.085636	0.0807	0.0093	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed7_model_0	0.83	NA	NA	0.51	NA	0.52	NA	0.44	0.14	NA	NA	0.82	NA	0.22	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.22	0.113048	0.112	0.0117	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed7_model_1	0.83	NA	NA	0.52	NA	0.53	NA	0.45	0.13	NA	NA	0.85	NA	0.2	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.2	0.110301	0.091	0.0114	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed7_model_2	0.81	NA	NA	0.51	NA	0.5	NA	0.42	0.1	NA	NA	0.81	NA	0.18	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.18	0.106021	0.1327	0.0097	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed7_model_3	0.81	NA	NA	0.49	NA	0.5	NA	0.42	0.09	NA	NA	0.83	NA	0.16	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.102204	0.1994	0.0098	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed7_model_4	0.82	NA	NA	0.51	NA	0.45	NA	0.41	0.06	NA	NA	0.8	NA	0.1	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.1	0.078268	0.1716	0.0091	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed8_model_0	0.84	NA	NA	0.54	NA	0.54	NA	0.46	0.14	NA	NA	0.86	NA	0.21	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.117051	0.1121	0.0113	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed8_model_1	0.84	NA	NA	0.54	NA	0.52	NA	0.44	0.12	NA	NA	0.84	NA	0.19	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.111781	0.0935	0.0108	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed8_model_2	0.84	NA	NA	0.53	NA	0.49	NA	0.42	0.09	NA	NA	0.82	NA	0.17	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.17	0.098272	0.0691	0.0095	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed8_model_3	0.85	NA	NA	0.52	NA	0.49	NA	0.42	0.09	NA	NA	0.82	NA	0.15	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.15	0.099682	0.0723	0.0099	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed8_model_4	0.83	NA	NA	0.54	NA	0.47	NA	0.42	0.07	NA	NA	0.83	NA	0.12	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.12	0.088388	0.0221	0.0096	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed9_model_0	0.84	NA	NA	0.53	NA	0.42	NA	0.35	0.14	NA	NA	0.63	NA	0.21	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.11818	0.1957	0.0107	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed9_model_1	0.85	NA	NA	0.55	NA	0.49	NA	0.44	0.11	NA	NA	0.82	NA	0.16	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.093896	0.2107	0.0105	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed9_model_2	0.83	NA	NA	0.53	NA	0.46	NA	0.39	0.09	NA	NA	0.76	NA	0.16	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.102325	0.1338	0.0098	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed9_model_3	0.84	NA	NA	0.54	NA	0.45	NA	0.41	0.06	NA	NA	0.8	NA	0.11	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.11	0.082968	0.0723	0.0096	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_noDNA_gpc_seed9_model_4	0.84	NA	NA	0.53	NA	0.46	NA	0.41	0.06	NA	NA	0.81	NA	0.11	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.11	0.081371	0.2276	0.0091	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_ssDNA_30nt_2rep_gpc_seed10_model_0	0.77	0.12	NA	0.41	0.78	0.24	0.14	0.08	0.09	0.19	0.28	0.13	0.01	0.12	0.02	0.53	0.02	0.2	0.29	0.12	0.022592	0.279703	0.099308	0.13	0.151359	0.0768	0.0129	0.0192	0	0	0	0.12	0.084887	0.0671	0.0088	0	0.26729	0.691815	0.434635	0.53	0.421958	0.1773	0.0191	0.2225	0	0	0	0.02	0.017037	0	0	0	0	0	0	0.2	0.127834	0.0463	0.0089	0	0.019723	0.29618	0.019723	0.12	0.153101	0.0697	0.0115	0
